PFAS,tissue,toadID,day,concentration_ug_per_kg
8:2 FTS,liver,22-0249,7,80.33
8:2 FTS,liver,22-0200,14,69.55
8:2 FTS,liver,22-0215,14,83.47
8:2 FTS,liver,22-0216,14,94.05
8:2 FTS,liver,22-0233,14,69.31
8:2 FTS,liver,22-0250,14,117.22
8:2 FTS,liver,22-0202,21,133.14
8:2 FTS,liver,22-0217,21,40.24
8:2 FTS,liver,22-0218,21,61.57
8:2 FTS,liver,22-0235,21,132.46
8:2 FTS,liver,22-0240,21,68.32
8:2 FTS,liver,22-0251,21,101.83
8:2 FTS,liver,22-0203,28,92.06
8:2 FTS,liver,22-0219,28,84.09
8:2 FTS,liver,22-0221,28,37.78
8:2 FTS,liver,22-0236,28,68.12
8:2 FTS,liver,22-0241,28,71.92
8:2 FTS,liver,22-0252,28,143.07
8:2 FTS,liver,22-0182,35,41.62
8:2 FTS,liver,22-0220,35,27.81
8:2 FTS,liver,22-0224,35,79.83
8:2 FTS,liver,22-0238,35,8.99
8:2 FTS,liver,22-0253,35,46.71
8:2 FTS,liver,22-0255,35,132.9
8:2 FTS,liver,22-0183,42,19.17
8:2 FTS,liver,00-0206,42,2.27
8:2 FTS,liver,22-0222,42,52.55
8:2 FTS,liver,22-0225,42,7.29
8:2 FTS,liver,22-0254,42,27.9
8:2 FTS,liver,22-0186,49,22.68
8:2 FTS,liver,22-0205,49,23.33
8:2 FTS,liver,22-0207,49,12.26
8:2 FTS,liver,22-0223,49,22.16
8:2 FTS,liver,22-0226,49,17.66
8:2 FTS,liver,22-0244,49,4.62
8:2 FTS,liver,22-0187,56,13.63
8:2 FTS,liver,22-0208,56,6.02
8:2 FTS,liver,22-0228,56,5.84
8:2 FTS,liver,22-0229,56,5.84
8:2 FTS,liver,22-0245,56,2.38
8:2 FTS,liver,22-0256,56,0
8:2 FTS,wholebody,22-0180,0,0
8:2 FTS,wholebody,22-0181,0,0
8:2 FTS,wholebody,22-0196,0,0
8:2 FTS,wholebody,22-0199,0,0
8:2 FTS,wholebody,22-0201,0,0
8:2 FTS,wholebody,22-0209,0,0
8:2 FTS,wholebody,22-0210,0,0
8:2 FTS,wholebody,22-0213,0,0
8:2 FTS,wholebody,22-0230,0,0
8:2 FTS,wholebody,22-0231,0,0
8:2 FTS,wholebody,22-0246,0,0
8:2 FTS,wholebody,22-0247,0,0
8:2 FTS,wholebody,22-0237,0,0
8:2 FTS,wholebody,22-0197,7,23.38
8:2 FTS,wholebody,22-0212,7,49.84
8:2 FTS,wholebody,22-0214,7,85.14
8:2 FTS,wholebody,22-0232,7,20.67
8:2 FTS,wholebody,22-0234,7,16.96
8:2 FTS,wholebody,22-0249,7,36.62
8:2 FTS,wholebody,22-0200,14,21.23
8:2 FTS,wholebody,22-0215,14,22.46
8:2 FTS,wholebody,22-0216,14,176.17
8:2 FTS,wholebody,22-0233,14,12.81
8:2 FTS,wholebody,22-0250,14,41.21
8:2 FTS,wholebody,22-0202,21,37.85
8:2 FTS,wholebody,22-0217,21,21.99
8:2 FTS,wholebody,22-0218,21,75.46
8:2 FTS,wholebody,22-0235,21,22.52
8:2 FTS,wholebody,22-0240,21,21.63
8:2 FTS,wholebody,22-0251,21,37.8
8:2 FTS,wholebody,22-0203,28,67.69
8:2 FTS,wholebody,22-0219,28,67.2
8:2 FTS,wholebody,22-0221,28,30.51
8:2 FTS,wholebody,22-0236,28,32.5
8:2 FTS,wholebody,22-0241,28,18.76
8:2 FTS,wholebody,22-0252,28,65.73
8:2 FTS,wholebody,22-0182,35,17.62
8:2 FTS,wholebody,22-0220,35,4.79
8:2 FTS,wholebody,22-0224,35,38.3
8:2 FTS,wholebody,22-0238,35,12.32
8:2 FTS,wholebody,22-0253,35,11.92
8:2 FTS,wholebody,22-0255,35,52.14
8:2 FTS,wholebody,22-0183,42,12.32
8:2 FTS,wholebody,00-0206,42,0
8:2 FTS,wholebody,22-0222,42,18.33
8:2 FTS,wholebody,22-0225,42,17.16
8:2 FTS,wholebody,22-0254,42,17.59
8:2 FTS,wholebody,22-0186,49,3.94
8:2 FTS,wholebody,22-0205,49,13.52
8:2 FTS,wholebody,22-0207,49,4.49
8:2 FTS,wholebody,22-0223,49,36.28
8:2 FTS,wholebody,22-0226,49,9.86
8:2 FTS,wholebody,22-0244,49,4.56
8:2 FTS,wholebody,22-0187,56,16.52
8:2 FTS,wholebody,22-0208,56,8.07
8:2 FTS,wholebody,22-0228,56,3.35
8:2 FTS,wholebody,22-0229,56,4.06
8:2 FTS,wholebody,22-0245,56,1.23
8:2 FTS,wholebody,22-0256,56,0
PFBS,liver,22-0180,0,0
PFBS,liver,22-0181,0,0
PFBS,liver,22-0196,0,0
PFBS,liver,22-0199,0,16.26
PFBS,liver,22-0201,0,12.05
PFBS,liver,22-0209,0,4.17
PFBS,liver,22-0210,0,0
PFBS,liver,22-0213,0,0
PFBS,liver,22-0230,0,0
PFBS,liver,22-0231,0,0
PFBS,liver,22-0246,0,2.67
PFBS,liver,22-0247,0,2.57
PFBS,liver,22-0237,0,5.88
PFBS,liver,22-0197,7,8.84
PFBS,liver,22-0212,7,2.04
PFBS,liver,22-0214,7,3.32
PFBS,liver,22-0232,7,2.85
PFBS,liver,22-0234,7,0
PFBS,liver,22-0249,7,2.76
PFBS,liver,22-0200,14,4.64
PFBS,liver,22-0215,14,2.21
PFBS,liver,22-0216,14,5.51
PFBS,liver,22-0233,14,4.11
PFBS,liver,22-0250,14,3.07
PFBS,liver,22-0202,21,2.93
PFBS,liver,22-0217,21,2.75
PFBS,liver,22-0218,21,0
PFBS,liver,22-0235,21,8.7
PFBS,liver,22-0240,21,2.95
PFBS,liver,22-0251,21,2.33
PFBS,liver,22-0203,28,2.02
PFBS,liver,22-0219,28,2.27
PFBS,liver,22-0221,28,8.19
PFBS,liver,22-0236,28,3.99
PFBS,liver,22-0241,28,3.15
PFBS,liver,22-0252,28,4.54
PFBS,liver,22-0182,35,0
PFBS,liver,22-0220,35,0
PFBS,liver,22-0224,35,0
PFBS,liver,22-0238,35,0.41
PFBS,liver,22-0253,35,0
PFBS,liver,22-0255,35,0
PFBS,liver,22-0183,42,0
PFBS,liver,00-0206,42,2.85
PFBS,liver,22-0222,42,0
PFBS,liver,22-0225,42,0
PFBS,liver,22-0254,42,0
PFBS,liver,22-0186,49,0
PFBS,liver,22-0205,49,0
PFBS,liver,22-0207,49,0
PFBS,liver,22-0223,49,0
PFBS,liver,22-0226,49,0
PFBS,liver,22-0244,49,0
PFBS,liver,22-0187,56,0
PFBS,liver,22-0208,56,0
PFBS,liver,22-0228,56,0
PFBS,liver,22-0229,56,0
PFBS,liver,22-0245,56,0
PFBS,liver,22-0256,56,0
PFBS,wholebody,22-0180,0,0
PFBS,wholebody,22-0181,0,2.13
PFBS,wholebody,22-0196,0,3.61
PFBS,wholebody,22-0199,0,0
PFBS,wholebody,22-0201,0,2.87
PFBS,wholebody,22-0209,0,3.05
PFBS,wholebody,22-0210,0,6.15
PFBS,wholebody,22-0213,0,0
PFBS,wholebody,22-0230,0,0
PFBS,wholebody,22-0231,0,3.14
PFBS,wholebody,22-0246,0,2.01
PFBS,wholebody,22-0247,0,0
PFBS,wholebody,22-0237,0,1.92
PFBS,wholebody,22-0197,7,6.71
PFBS,wholebody,22-0212,7,2.11
PFBS,wholebody,22-0214,7,4.02
PFBS,wholebody,22-0232,7,2.95
PFBS,wholebody,22-0234,7,4.31
PFBS,wholebody,22-0249,7,2.57
PFBS,wholebody,22-0200,14,6.22
PFBS,wholebody,22-0215,14,3.02
PFBS,wholebody,22-0216,14,7.34
PFBS,wholebody,22-0233,14,3.42
PFBS,wholebody,22-0250,14,8.21
PFBS,wholebody,22-0202,21,16.89
PFBS,wholebody,22-0217,21,5.39
PFBS,wholebody,22-0218,21,6.78
PFBS,wholebody,22-0235,21,6.68
PFBS,wholebody,22-0240,21,2.64
PFBS,wholebody,22-0251,21,5.49
PFBS,wholebody,22-0203,28,42.66
PFBS,wholebody,22-0219,28,79.71
PFBS,wholebody,22-0221,28,13.74
PFBS,wholebody,22-0236,28,13.78
PFBS,wholebody,22-0241,28,2.24
PFBS,wholebody,22-0252,28,11.4
PFBS,wholebody,22-0182,35,4.25
PFBS,wholebody,22-0220,35,1.87
PFBS,wholebody,22-0224,35,5.62
PFBS,wholebody,22-0238,35,3.19
PFBS,wholebody,22-0253,35,0
PFBS,wholebody,22-0255,35,4.3
